Epoch 1/10
step 1060 | loss 1.3019
step 1080 | loss 2.7203
step 1100 | loss 2.8140
step 1120 | loss 0.9017
step 1140 | loss 1.0766
step 1160 | loss 0.8978
step 1180 | loss 1.0108
step 1200 | loss 6.8156
step 1220 | loss 2.4224
step 1240 | loss 2.6816
step 1260 | loss 1.1891
step 1280 | loss 1.7516
step 1300 | loss 1.6411
step 1320 | loss 4.5443
step 1340 | loss 3.6115
step 1360 | loss 3.9336
step 1380 | loss 4.6918
step 1400 | loss 5.9493
step 1420 | loss 1.1002
step 1440 | loss 3.4944
step 1460 | loss 1.9572
step 1480 | loss 4.0285
step 1500 | loss 5.4284
step 1520 | loss 1.1600
step 1540 | loss 4.1246
step 1560 | loss 4.5398
step 1580 | loss 2.5399
step 1600 | loss 4.5014
step 1620 | loss 5.5543
step 1640 | loss 0.7088
step 1660 | loss 0.7305
step 1680 | loss 2.4228
step 1700 | loss 0.8113
step 1720 | loss 5.5507
step 1740 | loss 6.1520
step 1760 | loss 6.4407
step 1780 | loss 1.4208
step 1800 | loss 4.0094
step 1820 | loss 3.2822
step 1840 | loss 3.4429
step 1860 | loss 1.9905
step 1880 | loss 2.1995
step 1900 | loss 3.4951
step 1920 | loss 4.2561
step 1940 | loss 1.5756
step 1960 | loss 5.6496
step 1980 | loss 8.9617
step 2000 | loss 3.5255
step 2020 | loss 2.9071
step 2040 | loss 2.9407
step 2060 | loss 9.7912
step 2080 | loss 2.3041
step 2100 | loss 4.5799
step 2120 | loss 6.7360
step 2140 | loss 5.1997
step 2160 | loss 7.1486
step 2180 | loss 2.3748
step 2200 | loss 2.8298
step 2220 | loss 3.5431
step 2240 | loss 5.2570
step 2260 | loss 0.8268
step 2280 | loss 3.8706
step 2300 | loss 1.2427
step 2320 | loss 3.7701
step 2340 | loss 1.9810
step 2360 | loss 5.1615
step 2380 | loss 1.5798
step 2400 | loss 8.0989
step 2420 | loss 0.9422
step 2440 | loss 1.7297
step 2460 | loss 1.3232
step 2480 | loss 2.4476
step 2500 | loss 3.2641
step 2520 | loss 2.3781
step 2540 | loss 6.1431
train loss:    3.2748
val loss:      2.5264
val si-RMSE:   0.6002
saved new best checkpoint

Epoch 8/10
step 0000 | loss 1.5942
step 0020 | loss 2.6737
step 0040 | loss 2.6154
step 0060 | loss 2.8754
step 0080 | loss 1.0186
step 0100 | loss 5.4807
step 0120 | loss 3.5613
step 0140 | loss 4.9243
step 0160 | loss 0.8165
step 0180 | loss 2.2577
step 0200 | loss 6.2099
step 0220 | loss 8.4925
step 0240 | loss 2.3508
step 0260 | loss 2.4355
step 0280 | loss 2.1021
step 0300 | loss 2.1360
step 0320 | loss 2.0252
step 0340 | loss 6.0413
step 0360 | loss 1.6598
step 0380 | loss 4.1986
step 0400 | loss 2.3560
step 0420 | loss 2.3297
step 0440 | loss 2.0941
step 0460 | loss 5.6635
step 0480 | loss 1.5716
step 0500 | loss 6.2016
step 0520 | loss 2.2817
step 0540 | loss 3.7539
step 0560 | loss 1.9517
step 0580 | loss 1.3026
step 0600 | loss 5.4721
step 0620 | loss 2.8248
step 0640 | loss 7.1300
step 0660 | loss 3.3246
step 0680 | loss 1.4875
step 0700 | loss 2.7255
step 0720 | loss 5.5040
step 0740 | loss 3.7731
step 0760 | loss 2.2369
step 0780 | loss 1.9995
step 0800 | loss 10.8345
step 0820 | loss 11.2421
step 0840 | loss 9.5247
step 0860 | loss 13.8045
step 0880 | loss 6.6515
step 0900 | loss 3.8474
step 0920 | loss 0.9832
step 0940 | loss 1.5835
step 0960 | loss 4.7753
step 0980 | loss 1.5131
step 1000 | loss 6.3127
step 1020 | loss 1.1669
step 1040 | loss 5.2461
step 1060 | loss 3.2573
step 1080 | loss 1.6792
step 1100 | loss 4.7160
step 1120 | loss 5.3362
step 1140 | loss 5.3203
step 1160 | loss 1.6669
step 1180 | loss 2.9178
step 1200 | loss 6.3570
step 1220 | loss 7.0267
step 1240 | loss 6.1737
step 1260 | loss 2.3171
step 1280 | loss 5.8782
step 1300 | loss 3.8354
step 1320 | loss 2.0707
step 1340 | loss 3.2318
step 1360 | loss 6.1467
step 1380 | loss 1.0025
step 1400 | loss 7.1732
step 1420 | loss 4.4997
step 1440 | loss 6.3835
step 1460 | loss 9.5789
step 1480 | loss 0.8431
